occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Hyalurga sora","Hyalurga sora Boisduval, 1870","1804196","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Hyalurga","Hyalurga sora","Hyalurga sora","Boisduval, 1870","1804196",
,"moth Gelechiidae Dichomeris",,,"NONE","100",,,,,,,,,,,,,
,"Melanolophia sp_san_luis","Melanolophia Hulst, 1896","1962704","HIGHERRANK","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Melanolophia",,"Melanolophia","Hulst, 1896","1962704",
,"Cliniodes opalalis","Cliniodes opalalis Guenée, 1854","1891276","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Cliniodes","Cliniodes opalalis","Cliniodes opalalis","Guenée, 1854","1891276",
,"Eois sp_san_luis_f","Eois Hübner, 1818","1989610","HIGHERRANK","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Eois",,"Eois","Hübner, 1818","1989610",
,"moth misc macro",,,"NONE","100",,,,,,,,,,,,,
,"Hygrochroma nondina","Hygrochroma nondina Druce, 1892","5144328","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Hygrochroma","Hygrochroma nondina","Hygrochroma nondina","Druce, 1892","5144328",
,"Leucanopsis longa","Leucanopsis longa Grote, 1880","1810025","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Leucanopsis","Leucanopsis longa","Leucanopsis longa","Grote, 1880","1810025",
,"Crinodes schausi","Crinodes schausi Rothschild, 1917","1824186","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Notodontidae","Crinodes","Crinodes schausi","Crinodes schausi","Rothschild, 1917","1824186",
,"Oospila athena","Oospila athena (Druce, 1892)","1973640","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Oospila","Oospila athena","Oospila athena","(Druce, 1892) ","1973640",
,"Symphlebia herbosa","Symphlebia herbosa Schaus, 1910","1805277","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Symphlebia","Symphlebia herbosa","Symphlebia herbosa","Schaus, 1910","1805277",
,"Megaloptera",,,"NONE","100",,,,,,,,,,,,,
,"Hymenomima umbelularia","Hymenomima umbelularia (Hübner)","1975855","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Hymenomima","Hymenomima umbelularia","Hymenomima umbelularia","(Hübner) ","1975855",
,"Phrudocentra opaca","Phrudocentra opaca (Butler, 1881)","1985016","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Phrudocentra","Phrudocentra opaca","Phrudocentra opaca","(Butler, 1881) ","1985016",
,"moth Xylophanes",,,"NONE","100",,,,,,,,,,,,,
,"Amaxia apyga","Amaxia apyga Hampson, 1901","1814045","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Amaxia","Amaxia apyga","Amaxia apyga","Hampson, 1901","1814045",
,"Leucotmemis nexa","Leucotmemis nexa Herrich-Schäffer, 1854","1817086","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Leucotmemis","Leucotmemis nexa","Leucotmemis nexa","Herrich-Schäffer, 1854","1817086",
,"Hemiceras vecina","Hemiceras vecina Schaus, 1901","5118706","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Notodontidae","Hemiceras","Hemiceras vecina","Hemiceras vecina","Schaus, 1901","5118706",
,"Eucereon aroa","Eucereon aroa Schaus, 1894","1810220","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Eucereon","Eucereon aroa","Eucereon aroa","Schaus, 1894","1810220",
,"Phalaenophana pyramusalis","Phalaenophana pyramusalis (Walker, 1859)","9342938","EXACT","98","SYNONYM","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Phaeolita","Phaeolita pyramusalis","Phalaenophana pyramusalis","(Walker, 1859) ","9342938","1790832"
,"Natada fusca","Natada fusca (Druce, 1887)","1753658","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Limacodidae","Natada","Natada fusca","Natada fusca","(Druce, 1887) ","1753658",
,"Dysschema mariamne","Dysschema mariamne Geyer, 1838","5117422","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Dysschema","Dysschema mariamne","Dysschema mariamne","Geyer, 1838","5117422",
,"Herminodes sp_san_luis_a","Herminodes Guenée, 1852","4696204","HIGHERRANK","94","SYNONYM","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Scolecocampa",,"Herminodes","Guenée, 1852","4696204","1765176"
,"Paragonia cruraria","Paragonia cruraria (Herrich-Schäffer)","5144363","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Paragonia","Paragonia cruraria","Paragonia cruraria","(Herrich-Schäffer) ","5144363",
,"moth Macrodes",,,"NONE","100",,,,,,,,,,,,,
,"Afrida sp_san_luis_a","Afrida Möschler, 1886","1802159","HIGHERRANK","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Nolidae","Afrida",,"Afrida","Möschler, 1886","1802159",
,"Microphysetica hermeasalis","Microphysetica hermeasalis","10439369","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Microphysetica","Microphysetica hermeasalis","Microphysetica hermeasalis",,"10439369",
,"Talara mona","Talara mona Dyar, 1914","1814769","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Talara","Talara mona","Talara mona","Dyar, 1914","1814769",
,"Xenosoma nigromarginatum","Xenosoma nigromarginatum Druce, 1886","5116374","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Xenosoma","Xenosoma nigromarginatum","Xenosoma nigromarginatum","Druce, 1886","5116374",
,"Zale peruncta","Zale peruncta Guenée, 1852","5112997","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Zale","Zale peruncta","Zale peruncta","Guenée, 1852","5112997",
,"Gonodonta paraequalis","Gonodonta paraequalis Todd, 1959","1770041","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Gonodonta","Gonodonta paraequalis","Gonodonta paraequalis","Todd, 1959","1770041",
,"Perigea leucanoides","Perigea leucanioides Hampson, 1908","1790742","FUZZY","95","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Perigea","Perigea leucanioides","Perigea leucanioides","Hampson, 1908","1790742",
,"Dysschema lycaste","Dysschema lycaste Klug, 1836","5117506","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Dysschema","Dysschema lycaste","Dysschema lycaste","Klug, 1836","5117506",
,"Hypena lollia","Hypena lollia Druce, 1890","8256857","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Hypena","Hypena lollia","Hypena lollia","Druce, 1890","8256857",
,"Eacles ormondei","Eacles ormondei Schaus, 1889","1865108","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Saturniidae","Eacles","Eacles ormondei","Eacles ormondei","Schaus, 1889","1865108",
,"moth misc micro",,,"NONE","100",,,,,,,,,,,,,
,"Gn_sp_san_luis_1014",,,"NONE","100",,,,,,,,,,,,,
,"Antiblemma sp_san_luis_a","Antiblemma Hübner, 1823","1794630","HIGHERRANK","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Antiblemma",,"Antiblemma","Hübner, 1823","1794630",
,"Eucereon relegata","Eucereon relegatum Schaus, 1911","1810152","FUZZY","96","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Eucereon","Eucereon relegatum","Eucereon relegatum","Schaus, 1911","1810152",
,"Gn sp_san_luis_1004",,,"NONE","100",,,,,,,,,,,,,
,"Hemiceras modesta","Hemiceras modesta Butler, 1879","5118590","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Notodontidae","Hemiceras","Hemiceras modesta","Hemiceras modesta","Butler, 1879","5118590",
,"moth Oecophoridae",,,"NONE","100",,,,,,,,,,,,,
,"Cosmosoma advena","Cosmosoma advena Druce, 1884","5116277","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Cosmosoma","Cosmosoma advena","Cosmosoma advena","Druce, 1884","5116277",
,"Phyllodonta latrata","Phyllodonta latrata (Guenée)","1963959","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Phyllodonta","Phyllodonta latrata","Phyllodonta latrata","(Guenée) ","1963959",
,"Anisoperas lurida","Anisoperas Warren, 1895","1986746","HIGHERRANK","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Anisoperas",,"Anisoperas","Warren, 1895","1986746",
,"Ammalo helops","Ammalo helops Cramer, 1775","1814182","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Ammalo","Ammalo helops","Ammalo helops","Cramer, 1775","1814182",
,"Gn_sp_san_luis_1028",,,"NONE","100",,,,,,,,,,,,,
,"Herminodes atrosignata","Herminodes atrosignata (Walker, 1858)","8028211","EXACT","97","DOUBTFUL","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Scolecocampa","Herminodes atrosignata","Herminodes atrosignata","(Walker, 1858) ","8028211",
,"Eusarca minucia","Eusarca minucia (Druce, 1892)","10466176","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Eusarca","Eusarca minucia","Eusarca minucia","(Druce, 1892) ","10466176",
,"Orthofidonia sp_san_luis_a","Orthofidonia Packard, 1876","1980504","HIGHERRANK","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Orthofidonia",,"Orthofidonia","Packard, 1876","1980504",
,"Gn sp_san_luis_1028",,,"NONE","100",,,,,,,,,,,,,
,"Pelochyta affinis","Pelochyta affinis Rothschild, 1909","1806777","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Pelochyta","Pelochyta affinis","Pelochyta affinis","Rothschild, 1909","1806777",
,"Nepheloleuca politia","Nepheloleuca politia (Cramer, 1777)","1989582","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Nepheloleuca","Nepheloleuca politia","Nepheloleuca politia","(Cramer, 1777) ","1989582",
,"Diacme mopsalis","Diacme mopsalis","11506397","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Diacme","Diacme mopsalis","Diacme mopsalis",,"11506397",
,"moth Oecophoridae Ethmia",,,"NONE","100",,,,,,,,,,,,,
,"Epitausa dilina","Epitausa dilina Herrich-Schäffer, 1858","1772235","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Epitausa","Epitausa dilina","Epitausa dilina","Herrich-Schäffer, 1858","1772235",
,"Hygrochroma olivinaria","Hygrochroma olivinaria Herrich-Schäffer, 1855","5144327","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Hygrochroma","Hygrochroma olivinaria","Hygrochroma olivinaria","Herrich-Schäffer, 1855","5144327",
,"Pyrinia selecta","Pyrinia selecta Schaus, 1913","1988993","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Pyrinia","Pyrinia selecta","Pyrinia selecta","Schaus, 1913","1988993",
,"wasp",,,"NONE","100",,,,,,,,,,,,,
,"Opharus rudis","Opharus rudis Schaus, 1911","5117618","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Opharus","Opharus rudis","Opharus rudis","Schaus, 1911","5117618",
,"moth Tineidae Nemapogon",,,"NONE","100",,,,,,,,,,,,,
,"moth Blastobasidae",,,"NONE","100",,,,,,,,,,,,,
,"Lepidokirbyia vittipes","Lepidokirbyia vittipes Walker, 1855","1818377","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Lepidokirbyia","Lepidokirbyia vittipes","Lepidokirbyia vittipes","Walker, 1855","1818377",
,"= I_PBA10487",,,"NONE","100",,,,,,,,,,,,,
,"Gardinia anopla","Gardinia anopla Hering, 1925","5117880","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Gardinia","Gardinia anopla","Gardinia anopla","Hering, 1925","5117880",
,"Epicrisias eschara","Epicrisias eschara Dyar, 1912","1805528","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Epicrisias","Epicrisias eschara","Epicrisias eschara","Dyar, 1912","1805528",
,"Anomis gentilis","Anomis gentilis Schaus, 1912","1785093","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Anomis","Anomis gentilis","Anomis gentilis","Schaus, 1912","1785093",
,"moth Depressariidae Ethmia",,,"NONE","100",,,,,,,,,,,,,
,"Diphthera festiva","Diphthera festiva Fabricius, 1775","5108951","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Diphthera","Diphthera festiva","Diphthera festiva","Fabricius, 1775","5108951",
,"Tosale oviplagalis","Tosale oviplagalis Walker, 1866","1872514","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Pyralidae","Tosale","Tosale oviplagalis","Tosale oviplagalis","Walker, 1866","1872514",
,"Eucereon aurantiaca","Eucereon aurantiaca Draudt, 1915","1810306","EXACT","98","SYNONYM","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Eucereon","Eucereon pseudarchias","Eucereon aurantiaca","Draudt, 1915","1810306","1810322"
,"Elysius conspersus","Elysius conspersus Walker, 1855","1811312","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Elysius","Elysius conspersus","Elysius conspersus","Walker, 1855","1811312",
,"Bagisara laverna","Bagisara laverna Druce, 1889","9567770","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Bagisara","Bagisara laverna","Bagisara laverna","Druce, 1889","9567770",
,"Gn sp_san_luis_1042",,,"NONE","100",,,,,,,,,,,,,
,"Semiothisa divergentata","Semiothisa divergentata (Snellen, 1874)","1958807","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Semiothisa","Semiothisa divergentata","Semiothisa divergentata","(Snellen, 1874) ","1958807",
,"moth Darceta",,,"NONE","100",,,,,,,,,,,,,
,"Symphlebia pyrgion","Symphlebia pyrgion Druce, 1897","1805284","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Symphlebia","Symphlebia pyrgion","Symphlebia pyrgion","Druce, 1897","1805284",
,"Hemiceras nigricosta","Hemiceras nigricosta Schaus, 1901","5118718","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Notodontidae","Hemiceras","Hemiceras nigricosta","Hemiceras nigricosta","Schaus, 1901","5118718",
,"Amaxia lepida","Amaxia lepida Schaus, 1912","1814052","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Amaxia","Amaxia lepida","Amaxia lepida","Schaus, 1912","1814052",
,"Gn sp_san_luis_2008",,,"NONE","100",,,,,,,,,,,,,
,"Chetone angulosa","Chetone angulosa Walker, 1854","1806477","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Chetone","Chetone angulosa","Chetone angulosa","Walker, 1854","1806477",
,"mothe Geometridae",,,"NONE","100",,,,,,,,,,,,,
,"Prochoerodes pilosa","Prochoerodes pilosa Warren, 1897","1963844","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Prochoerodes","Prochoerodes pilosa","Prochoerodes pilosa","Warren, 1897","1963844",
,"Nemoria astraea","Nemoria astraea (Druce, 1892)","1981252","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Nemoria","Nemoria astraea","Nemoria astraea","(Druce, 1892) ","1981252",
,"Hypercompe laeta","Hypercompe laeta Walker, 1855","1811106","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Hypercompe","Hypercompe laeta","Hypercompe laeta","Walker, 1855","1811106",
,"Leuciris fimbriaria","Leuciris fimbriaria (Stoll, 1781)","1978464","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Leuciris","Leuciris fimbriaria","Leuciris fimbriaria","(Stoll, 1781) ","1978464",
,"moth Crambidae Scoparia",,,"NONE","100",,,,,,,,,,,,,
,"Hypena andraca","Hypena andraca Druce, 1890","10354717","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Hypena","Hypena andraca","Hypena andraca","Druce, 1890","10354717",
,"Rivula leucosticta","Rivula leucosticta Swinhoe, 1895","1769863","EXACT","97","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Rivula","Rivula leucosticta","Rivula leucosticta","Swinhoe, 1895","1769863",
,"Macaria delia","Macaria delia (Schaus, 1912)","10616747","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Macaria","Macaria delia","Macaria delia","(Schaus, 1912) ","10616747",
,"Himeromima aulis","Himeromima aulis (Druce, 1892)","1985485","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Himeromima","Himeromima aulis","Himeromima aulis","(Druce, 1892) ","1985485",
,"Sphacelodes vulneraria","Sphacelodes vulneraria (Hübner, 1823)","1990594","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Sphacelodes","Sphacelodes vulneraria","Sphacelodes vulneraria","(Hübner, 1823) ","1990594",
,"Leucula meganira","Leucula meganira Druce, 1892","1990651","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Leucula","Leucula meganira","Leucula meganira","Druce, 1892","1990651",
,"Gn sp_san_luis_2012",,,"NONE","100",,,,,,,,,,,,,
,"Eumarozia beckeri","Eumarozia beckeri Clarke, 1973","1743460","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Eumarozia","Eumarozia beckeri","Eumarozia beckeri","Clarke, 1973","1743460",
,"Glyphodes extorris","Glyphodes extorris Dognin, 1905","5127576","EXACT","98","SYNONYM","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Glyphodes","Glyphodes confinis","Glyphodes extorris","Dognin, 1905","5127576","5127562"
,"Nemoria aturia","Nemoria aturia (Druce, 1892)","1981238","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Nemoria","Nemoria aturia","Nemoria aturia","(Druce, 1892) ","1981238",
,"Sicya aurunca--medangula","Animalia","1","HIGHERRANK","92","ACCEPTED","KINGDOM","Animalia",,,,,,,"Animalia",,"1",
,"Hypena mactatalis","Hypena mactatalis Walker, 1859","9319452","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Hypena","Hypena mactatalis","Hypena mactatalis","Walker, 1859","9319452",
,"Gn sp_san_luis_1014",,,"NONE","100",,,,,,,,,,,,,
,"Hypena parialis","Hypena perialis Schaus, 1904","7740732","FUZZY","93","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Hypena","Hypena perialis","Hypena perialis","Schaus, 1904","7740732",
,"Eois sp_san_luis_e","Eois Hübner, 1818","1989610","HIGHERRANK","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Eois",,"Eois","Hübner, 1818","1989610",
,"Nemoria sp_san_luis_a","Nemoria Hübner, 1818","1981142","HIGHERRANK","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Nemoria",,"Nemoria","Hübner, 1818","1981142",
,"Eusarca nemora","Eusarca nemora (Druce, 1892)","10288719","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Eusarca","Eusarca nemora","Eusarca nemora","(Druce, 1892) ","10288719",
,"Prochoerodes striata","Prochoerodes striata (Stoll)","9947436","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Prochoerodes","Prochoerodes striata","Prochoerodes striata","(Stoll) ","9947436",
,"Idalus crinis","Idalus crinis Druce, 1884","1814711","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Idalus","Idalus crinis","Idalus crinis","Druce, 1884","1814711",
,"Brabirodes cerevia","Brabirodes cerevia Druce, 1893","1968653","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Brabirodes","Brabirodes cerevia","Brabirodes cerevia","Druce, 1893","1968653",
,"Opisthoxia molpadia","Opisthoxia molpadia (Druce, 1892)","1960315","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Opisthoxia","Opisthoxia molpadia","Opisthoxia molpadia","(Druce, 1892) ","1960315",
,"Eucereon centrale","Eucereon centrale Draudt, 1915","1810309","EXACT","98","SYNONYM","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Eucereon","Eucereon formosum","Eucereon centrale","Draudt, 1915","1810309","1810319"
,"Hypena gaudialis","Hypena gaudialis Schaus, 1912","10444039","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Hypena","Hypena gaudialis","Hypena gaudialis","Schaus, 1912","10444039",
,"Hemiceras pernubila","Hemiceras pernubila Dyar, 1908","5118779","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Notodontidae","Hemiceras","Hemiceras pernubila","Hemiceras pernubila","Dyar, 1908","5118779",
,"moth Anomis",,,"NONE","100",,,,,,,,,,,,,
,"Prolimacodes montanus--triangulifera","Prolimacodes Schaus, 1896","1752820","HIGHERRANK","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Limacodidae","Prolimacodes",,"Prolimacodes","Schaus, 1896","1752820",
,"Ptychamalia sp_san_luis_a","Ptychamalia Prout, 1932","1963534","HIGHERRANK","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Ptychamalia",,"Ptychamalia","Prout, 1932","1963534",
,"Pantherodes conglomerata","Pantherodes conglomerata (Warren, 1894)","1978957","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Pantherodes","Pantherodes conglomerata","Pantherodes conglomerata","(Warren, 1894) ","1978957",
,"Tosale aucta","Tosale aucta Hampson, 1897","1872515","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Pyralidae","Tosale","Tosale aucta","Tosale aucta","Hampson, 1897","1872515",
,"Gonodonta holosericea","Gonodonta holosericea Guenée, 1852","1770032","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Gonodonta","Gonodonta holosericea","Gonodonta holosericea","Guenée, 1852","1770032",
,"Halysidota orientalis","Halysidota orientalis Rothschild, 1909","1814330","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Halysidota","Halysidota orientalis","Halysidota orientalis","Rothschild, 1909","1814330",
,"Synnomos firmamentaria","Synnomos firmamentaria Guenée, 1857","1963633","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Synnomos","Synnomos firmamentaria","Synnomos firmamentaria","Guenée, 1857","1963633",
,"Amaxia osmophora--pardalis","Amaxia Walker, 1855","1814013","HIGHERRANK","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Amaxia",,"Amaxia","Walker, 1855","1814013",
,"Trygodes merta","Trygodes merta Druce, 1892","1976361","EXACT","98","SYNONYM","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Trygodes","Trygodes solaniferata","Trygodes merta","Druce, 1892","1976361","1976368"
,"Letis herilia","Letis herilia Stoll, 1780","1788345","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Letis","Letis herilia","Letis herilia","Stoll, 1780","1788345",
,"Eucereon tripunctatum","Eucereon tripunctatum Druce, 1884","1810357","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Eucereon","Eucereon tripunctatum","Eucereon tripunctatum","Druce, 1884","1810357",
,"Gn sp_san_luis_8019",,,"NONE","100",,,,,,,,,,,,,
,"Cosmosoma centralis","Cosmosoma centralis Walker, 1854","5116153","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Cosmosoma","Cosmosoma centralis","Cosmosoma centralis","Walker, 1854","5116153",
,"Artace cribrarius","Artace cribrarius (Ljungh, 1825)","1732901","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Lasiocampidae","Artace","Artace cribrarius","Artace cribrarius","(Ljungh, 1825) ","1732901",
,"moth Phyllodonta",,,"NONE","100",,,,,,,,,,,,,
,"Antiblemma harmodia","Antiblemma harmodia Schaus, 1901","1794636","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Antiblemma","Antiblemma harmodia","Antiblemma harmodia","Schaus, 1901","1794636",
,"Epitausa atriplaga","Epitausa atriplaga Walker, 1858","1772219","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Epitausa","Epitausa atriplaga","Epitausa atriplaga","Walker, 1858","1772219",
